Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name,Year,brand,Mileage_mi,Condition_car
2024 Chevrolet Equinox FWD RS,Chevrolet Certified,6185,25793.0,485.0,Webb Chevy,2024,Chevrolet,6185.0,Certified
2020 Honda HR-V Sport,Used,7649,22998.0,432.0,CarMax Birmingham,2020,Honda,7649.0,Used
2023 Nissan Armada SV,Used,54315,33998.0,639.0,CarMax Hillside (Eisenhower Expy),2023,Nissan,54315.0,Used
2024 Cadillac XT4 Luxury,Used,7730,39498.0,742.0,Napleton Cadillac of Oak Lawn,2024,Cadillac,7730.0,Used
2023 Chevrolet Traverse LT Cloth,Used,54415,24941.0,469.0,Hertz Car Sales Des Plaines,2023,Chevrolet,54415.0,Used
2024 Acura Integra Base,New,,33295.0,626.0,Ed Napleton Acura Kia,2024,Acura,,New
2020 Honda Civic EX,Used,57641,18700.0,351.0,Halil,2020,Honda,57641.0,Used
2024 Ford Bronco Raptor,New,,74995.0,1410.0,Ford of Homewood,2024,Ford,,New
2019 Audi Q7 55 Prestige,Used,57100,28900.0,543.0,Prestige Motors,2019,Audi,57100.0,Used
2025 Honda Civic Si Base,New,,31045.0,584.0,Schaumburg Honda Automobiles,2025,Honda,,New
2023 Lexus RZ 450e Luxury,Used,14413,43995.0,827.0,Woodfield Lexus,2023,Lexus,14413.0,Used
2024 Dodge Durango GT,New,,37881.0,712.0,Thomas Dodge Chrysler Jeep RAM of Highland,2024,Dodge,,New
2024 Kia Seltos S,New,,26400.0,496.0,Thomas Kia of Highland,2024,Kia,,New
2025 Kia Seltos EX,New,,30300.0,570.0,Thomas Kia of Highland,2025,Kia,,New
2024 Buick Encore GX Avenir,Buick Certified,6054,27250.0,512.0,Arnie Bauer Buick GMC of Matteson,2024,Buick,6054.0,Certified
2025 GMC Terrain AWD Elevation,New,,37178.0,699.0,Woody Buick GMC Naperville,2025,GMC,,New
2024 Ford Transit-250 Base,New,,52845.0,993.0,Haggerty Ford,2024,Ford,,New
2025 Volkswagen Atlas Cross Sport 2.0T SEL Premium,New,,50128.0,942.0,Volkswagen of Downtown Chicago,2025,Volkswagen,,New
2023 Jeep Grand Cherokee L Laredo,Used,5204,26999.0,507.0,West Chicago Auto Mall,2023,Jeep,5204.0,Used
2015 Nissan NV200 SV,Used,67627,20998.0,395.0,CarMax Kearny Mesa,2015,Nissan,67627.0,Used
2025 Nissan Sentra SR,New,,29445.0,553.0,Al Piemonte Nissan,2025,Nissan,,New
2020 Ford Transit-150,Used,66195,35998.0,677.0,CarMax Oklahoma City,2020,Ford,66195.0,Used
2017 GMC Acadia SLT,Used,53713,23998.0,451.0,CarMax Oak Lawn,2017,GMC,53713.0,Used
2025 MINI Countryman Cooper S ALL4,New,,39845.0,749.0,MINI of Glencoe North Shore,2025,MINI,,New
2020 Chevrolet Blazer 2LT,Used,38016,20995.0,395.0,Ed Napleton Acura Kia,2020,Chevrolet,38016.0,Used
2022 Land Rover Range Rover Velar P250 S R-Dynamic,Used,32394,39895.0,750.0,Jidd Motors Mitsubishi,2022,Land Rover,32394.0,Used
2025 Hyundai Tucson SEL Convenience,New,,34614.0,651.0,Family Hyundai,2025,Hyundai,,New
2021 Lincoln Corsair Grand Touring,Used,17988,35890.0,675.0,Joe Rizza Ford Lincoln,2021,Lincoln,17988.0,Used
2017 Hyundai Sonata Sport,Used,47361,15000.0,282.0,Schaumburg Kia,2017,Hyundai,47361.0,Used
2014 Ford Focus SE,Used,132350,6988.0,131.0,CRS Auto Group,2014,Ford,132350.0,Used
2025 Nissan Pathfinder Rock Creek,New,,44150.0,830.0,Woodfield Nissan,2025,Nissan,,New
2022 Chevrolet Silverado 1500 RST,Used,39855,42990.0,808.0,Arnie Bauer Buick GMC of Matteson,2022,Chevrolet,39855.0,Used
2025 Acura RDX Base,New,,46650.0,877.0,Muller's Woodfield Acura,2025,Acura,,New
2025 Chevrolet Equinox LT,New,,29434.0,553.0,Phillips Chevrolet,2025,Chevrolet,,New
2025 Land Rover Defender 110 P300,New,,69113.0,1299.0,Land Rover Jaguar Naperville,2025,Land Rover,,New
2025 Ford Explorer Active,New,,44260.0,832.0,Fair Oaks Ford,2025,Ford,,New
2025 BMW 760 760i xDrive,Used,1100,142775.0,2684.0,Perillo BMW,2025,BMW,1100.0,Used
2024 Ford Bronco Big Bend,New,,43102.0,810.0,Murgado Ford of Chicago,2024,Ford,,New
2019 Subaru Impreza 2.0i,Used,44839,16305.0,306.0,McGrath City Honda,2019,Subaru,44839.0,Used
2023 Hyundai Elantra SEL,Used,33664,20998.0,395.0,CarMax Des Moines,2023,Hyundai,33664.0,Used
2022 BMW X2 xDrive28i,Used,74762,26988.0,507.0,Hawk CDJR,2022,BMW,74762.0,Used
2019 Chevrolet Suburban LS,Used,88079,30998.0,583.0,CarMax Killeen,2019,Chevrolet,88079.0,Used
2025 RAM ProMaster 1500 Base,New,,50710.0,953.0,Jack Phelan Chrysler Dodge Jeep RAM,2025,RAM,,New
2024 Ford Transit-250 Base,New,,54840.0,1031.0,Westfield Ford,2024,Ford,,New
2024 Mercedes-Benz GLE 350 4MATIC,Used,20879,57497.0,1081.0,Jaguar Land Rover Hinsdale,2024,Mercedes-Benz,20879.0,Used
2024 BMW X1 xDrive28i,Used,7709,45495.0,855.0,Laurel BMW of Westmont,2024,BMW,7709.0,Used
2024 Lincoln Navigator Reserve,New,,100151.0,1882.0,Ogden Lincoln Of Westmont,2024,Lincoln,,New
2017 Mazda CX-5 Touring,Used,55290,18517.0,348.0,Volkswagen of Palatine,2017,Mazda,55290.0,Used
2025 Lincoln Aviator Reserve AWD,New,,72875.0,1370.0,Highland Park Ford Lincoln,2025,Lincoln,,New
2024 Audi Q3 S line Premium,Audi Certified,2061,36670.0,689.0,The Audi Exchange,2024,Audi,2061.0,Certified
2025 Honda Civic Si Base,New,,31855.0,599.0,Honda of Lisle,2025,Honda,,New
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,32920.0,619.0,Castle Volkswagen of Schaumburg,2024,Volkswagen,,New
2025 Genesis GV70 3.5T Sport,New,,70939.0,1333.0,Genesis of Schaumburg,2025,Genesis,,New
2024 Ford Bronco Raptor,New,,97315.0,1829.0,Schaumburg Ford,2024,Ford,,New
2025 Acura Integra Base,New,,34795.0,654.0,Acura Highland Park,2025,Acura,,New
2024 Cadillac XT4 Premium Luxury,New,,42050.0,790.0,Arnie Bauer Cadillac,2024,Cadillac,,New
2025 Nissan Sentra SV,New,,24110.0,453.0,Woodfield Nissan,2025,Nissan,,New
2025 Lincoln Nautilus Premiere,New,,55205.0,1038.0,Fair Oaks Lincoln,2025,Lincoln,,New
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology 4MOTION,New,,41897.0,788.0,Volkswagen of Downtown Chicago,2025,Volkswagen,,New
2020 BMW X5 xDrive40i,Used,57320,38988.0,733.0,Perillo BMW,2020,BMW,57320.0,Used
2025 Dodge Durango GT AWD,New,,51980.0,977.0,Sherman Dodge Chrysler Jeep RAM,2025,Dodge,,New
2024 Volvo XC40 B5 Core Bright Theme,Used,14040,37998.0,714.0,CarMax Oklahoma City,2024,Volvo,14040.0,Used
2025 Dodge Durango GT AWD,New,,51980.0,977.0,Berman Chrysler Dodge Jeep Ram,2025,Dodge,,New
2018 Mercedes-Benz C-Class 4MATIC,Used,26341,24595.0,462.0,Baha Auto Group Inc.,2018,Mercedes-Benz,26341.0,Used
2021 Kia Telluride SX,Used,57439,34998.0,658.0,CarMax Gainesville,2021,Kia,57439.0,Used
2025 Chevrolet Equinox AWD ACTIV,New,,35486.0,667.0,Advantage Chevrolet,2025,Chevrolet,,New
2014 Jeep Grand Cherokee Overland,Used,68691,21998.0,413.0,CarMax Oak Lawn,2014,Jeep,68691.0,Used
2025 Ford Explorer Active,New,,48365.0,909.0,Westfield Ford,2025,Ford,,New
2021 Ford Explorer XLT,Used,17437,32500.0,611.0,Bredemann Toyota/Scion,2021,Ford,17437.0,Used
2025 Hyundai Santa Cruz SEL Activity,New,,35700.0,671.0,Napleton River Oaks Hyundai Kia,2025,Hyundai,,New
2025 Subaru Crosstrek Wilderness,New,,37231.0,700.0,"International Autos Jaguar, Land Rover, Subaru, Volvo Cars",2025,Subaru,,New
2025 Chevrolet Equinox LT,New,,31127.0,585.0,Phillips Chevrolet of Lansing,2025,Chevrolet,,New
2021 Audi Q5 Premium Plus,Used,47580,29998.0,564.0,CarMax Tinley Park,2021,Audi,47580.0,Used
2025 Nissan Rogue SV,New,,35238.0,662.0,Woodfield Nissan,2025,Nissan,,New
2022 RAM 1500 Laramie,Used,18109,41899.0,788.0,Phillips Chevrolet,2022,RAM,18109.0,Used
2025 Lincoln Corsair Reserve,New,,58525.0,1100.0,Fair Oaks Lincoln,2025,Lincoln,,New
2021 Audi S5 3.0T Prestige,Used,46059,39989.0,752.0,Alfa Romeo of Naperville,2021,Audi,46059.0,Used
2025 BMW 840 i xDrive,New,,99940.0,1879.0,Knauz Auto Park,2025,BMW,,New
2023 Cadillac XT4 Sport,Used,17714,33595.0,631.0,Cadillac of Naperville,2023,Cadillac,17714.0,Used
2025 Volkswagen Atlas Cross Sport 2.0T SEL,New,,48480.0,911.0,Bill Jacobs VW,2025,Volkswagen,,New
2025 Jeep Grand Cherokee Limited X,New,,54505.0,1025.0,Sherman Dodge Chrysler Jeep RAM,2025,Jeep,,New
2025 Dodge Durango GT AWD,New,,53080.0,998.0,Berman Chrysler Dodge Jeep Ram,2025,Dodge,,New
2022 Tesla Model Y Long Range,Used,27274,30888.0,581.0,Jennings Chevy / VW,2022,Tesla,27274.0,Used
2010 BMW 328 xDrive,Used,107124,10985.0,206.0,Pro Cars USA Inc,2010,BMW,107124.0,Used
2025 Hyundai Palisade SEL,Used,7791,39995.0,752.0,Baha Auto Group,2025,Hyundai,7791.0,Used
2025 Land Rover Range Rover P400 SE 7 Seat,New,,131520.0,2472.0,Jaguar Land Rover Hinsdale,2025,Land Rover,,New
2025 BMW X2 xDrive28i,Used,990,47995.0,902.0,Laurel BMW of Westmont,2025,BMW,990.0,Used
2014 Mercedes-Benz C-Class C 300 4MATIC Sport,Used,166395,8999.0,169.0,I-80 Auto Sales,2014,Mercedes-Benz,166395.0,Used
2025 Nissan Altima 2.5 S,New,,27840.0,523.0,Bill Kay Downers Grove Nissan,2025,Nissan,,New
2025 Dodge Durango GT Plus,New,,50517.0,950.0,Zeigler Chrysler Dodge Jeep Ram of Downers Grove,2025,Dodge,,New
2025 Nissan Altima SR,New,,30772.0,578.0,Glendale Nissan,2025,Nissan,,New
2022 Volkswagen Tiguan 2.0T S 4MOTION,Volkswagen Certified,20794,21990.0,413.0,Castle Volkswagen of Schaumburg,2022,Volkswagen,20794.0,Certified
